slug,name,country,city,coverage,about_confidence,tuition_fees_confidence,living_costs_confidence,scholarships_confidence,acceptance_rate_confidence,graduate_employment_confidence,average_salaries_confidence,visa_policies_confidence,intake_deadlines_confidence,course_listings_confidence
berkeley,"University of California, Berkeley",USA,"Berkeley, California",0.9,0.6,0.45,0.6,0.75,0.6,0.0,0.6,0.6,0.65,0.5
mit,Massachusetts Institute of Technology,USA,"Cambridge, Massachusetts",0.8,0.6,0.75,0.6,0.75,0.0,0.75,0.75,0.75,0.0,0.6
uoft,University of Toronto,Canada,"Toronto, Ontario",0.6,0.6,0.6,0.6,0.6,0.0,0.0,0.6,0.6,0.0,0.0
